0,964fcd4f47bcafe91274ca74b97b0f7e,0,"CODE-A Software Framework For Control and Observation In Distributed Environments","CODE is a framework for the control and observation of resources, services, and applications. The technology supports the secure and scalable transmission of observed information to other programs, and it enables the secure execution of actions on remote computer systems. ","https://www.nas.nasa.gov/Resources/Software/Open-Source/code.html","None","arc-sra-team@mail.nasa.gov"
1,64951fe2efa8695baab37aca4b68f01f,0,"Mission Simulation Toolkit (MST)","MST offers a simulation framework to support research in autonomy for remote exploration. The system allows developers to test models in a high-fidelity simulation and then evaluate system performance against a set of integrated, standardized simulations.","https://ti.arc.nasa.gov/opensource/projects/mission-simulation-toolkit/","None","arc-sra-team@mail.nasa.gov"
2,cfe3560646e4787782145931037eeb53,0,"Livingstone 2 (System for Automated Diagnosis and Discrete Control of Complex Systems) and Skunkworks (Suite of Supporting Development and Runtime Tools)","Livingstone 2 is a reusable artificial intelligence (AI) software system designed to assist spacecraft, life support systems, chemical plants, or other complex systems in operating robustly with minimal human supervision, even in the face of hardware failures or unexpected events. The technology diagnoses the current state of a spacecraft or other system and recommends commands or repair actions that will allow the system to continue operations. A re-engineered version of the Livingstone diagnosis system that was flight-tested onboard the Deep Space One spacecraft in 1999, Livingstone 2 contains significant enhancements to robustness, performance, and usability. Skunkworks is a suite of software tools that support the rapid deployment of model-based representations of complex systems for Livingstone2 via a visual model builder/tester and two graphical user interface tools that provide status information during testing.","https://ti.arc.nasa.gov/opensource/projects/livingstone2/","None","arc-sra-team@mail.nasa.gov"
3,a3a5959a8cb85062b20ace5dac9a3c08,0,"Java Pathfinder (JPF), Version 2.0","Java Pathfinder (JPF) is a model checker for Java. The technology takes a Java program and "executes" it in a way that explores all possible executions/interleavings of the threads in the program. This allows JPF to detect certain bugs (e.g., deadlocks and assertion violations) that may be missed during testing. ","https://babelfish.arc.nasa.gov/trac/jpf/wiki/install/repositories","None","arc-sra-team@mail.nasa.gov"
4,042077ad40841f2cd0394a934fe8364a,0,"CAPTools-based Automatic Parallelizer Using OpenMP (CAPO)","CAPO analyzes a Fortran program and inserts OpenMP directives into the code to improve its performance on a parallel machine. The tool relies on accurate inter-procedural data-dependence information currently provided by CAPTools, which was developed at the University of Greenwich.","https://software.nasa.gov/software/ARC-14487-1","None","arc-sra-team@mail.nasa.gov"
5,2222229e1322ce640b4e58619d61db79,0,"Sound Lab (SLAB), Version 5","SLAB is a software-based, real-time, virtual acoustic-environment rendering system designed to study spatial hearing in environments such as concert halls, listening rooms, virtual reality, aviation spatial information displays, and video game sound effects. ","https://ti.arc.nasa.gov/opensource/projects/slab-spatial-audio-renderer/","None","arc-sra-team@mail.nasa.gov"
6,f219785d678b16e62ad78a8321af1be6,0,"Libibvpp","Libibvpp is a C++ wrapper around libibverbs, which is part of the OpenFabrics software suite.","https://ti.arc.nasa.gov/opensource/projects/libibvpp/","None","arc-sra-team@mail.nasa.gov"
7,471a345b29b3aa3ce463ae12b7599889,0,"Mariana: Text Classification System","Mariana is an algorithm that efficiently optimizes the hyperparameters for support vector machines for regression and classification. It currently uses simulated annealing for optimization but can be extended to use a variety of stochastic optimization techniques, including Markov Chain Monte Carlo, Sequential Monte Carlo, and genetic algorithms. ","https://ti.arc.nasa.gov/opensource/projects/mariana/","None","arc-sra-team@mail.nasa.gov"
8,609b1b03afae5d8f2baca1db76e4ace6,0,"Geometry Manipulation Protocol (GMP) for ComputationalFluid Dynamics (CFD) Applications, Version 1.0","GMP serializes datatypes between XML and ANSI C data structures to support CFD applications. The library currently provides a description of geometric configurations, general moving-body scenarios (prescribed and/or 6-DOF), and control surface settings. ","https://ti.arc.nasa.gov/opensource/projects/gmp/","None","arc-sra-team@mail.nasa.gov"
9,7b7a6c5ef1504a3e289823a5bdda3a01,0,"Constellation PRACA Extension of the Bugzilla Application","The Constellation PRACA I-1 system is a modified version of an open-source, Web-based defect tracking tool called Bugzilla. Bugzilla allows software developers to document and track outstanding bugs in their products; in the Constellation PRACA I-1 system, these core capabilities have been extended to provide the necessary functionality and usability defined in the PRACA processing requirements.","https://software.nasa.gov/software/ARC-16033-1","None","arc-sra-team@mail.nasa.gov"
10,16a7ea7bd0d2b2b83310a881cbb2741c,0,"nu-Anomica (Previously Sparse One Class Support Vector Machines (SOC-SVMs))","nu-Anomica is an anomaly detector that can run faster than traditional OC-SVMs. The technology can handle large training sets and works with a well-defined target function. The program utilizes the OSU SVMs code (which is a MATLAB version of Lib-SVMs) as the baseline.","https://ti.arc.nasa.gov/opensource/projects/nu-anomica/","None","arc-sra-team@mail.nasa.gov"
11,6eafcb0aa340ead3ecee2d957cbe75cb,0,"SequenceMiner-Anomaly Detection in Large Sets of High-Dimensional Symbol Sequences","SequenceMiner was developed to address the problem of detecting and describing anomalies in large sets of high-dimensional symbol sequences. The technology performs unsupervised clustering (grouping) of sequences using the normalized longest common subsequence (LCS) as a similarity measure, followed by a detailed analysis of outliers to detect anomalies. SequenceMiner utilizes a new hybrid algorithm for computing the LCS that has been shown to outperform existing algorithms by a factor of five.","https://ti.arc.nasa.gov/opensource/projects/sequenceminer/","None","arc-sra-team@mail.nasa.gov"
12,fec0a0af032e8c5ec2c160bad8996d7e,0,"Visual Environment for Remote Virtual Exploration (VERVE), Version 2","VERVE is a 3D visualization system that provides situational awareness, science analysis tools, and data understanding capabilities for robotics researchers and exploration science operations. The technology is highly modular and extensible and includes a 3D scene-graph database, an interactive 3D viewer, and associated graphical user interfaces to OSGI plugin-based applications.","https://sourceforge.net/p/irg-verve/wiki/VERVE%20Wiki%20Home/","None","arc-sra-team@mail.nasa.gov"
